Catalogue of stars identified as gamma Doradus in thesis, with >=0.7744 confidence

TIC	Teff	logg	lum	rad	confidence
453413032	6868.0	3.93241	9.562462	2.18412	0.9721970947985249
97482462	7280.0	4.36976	4.862966	1.38625	0.7796043155472474
333662348	6709.39	3.6331	nan	nan	0.7918567900590698
356832047	6664.0	3.96791	nan	nan	0.9855188020450616
105990389	7204.0	4.12089	nan	nan	0.879356298223428
67557656	6970.0	4.10944	nan	nan	0.9697661245934412
388851883	6717.0	4.21067	nan	nan	0.9629546619719617
278544052	6565.0	3.97459	nan	nan	0.9994289378543209
422774343	6924.04	4.11608	nan	nan	0.999999988216869
159905371	6987.0	4.44007	3.26995587	1.23408	0.9485665875418589
383367763	7034.0	3.86535	12.7805967	2.40726	0.9343868460044127
127506674	7088.98	4.15136	nan	nan	0.8134595725178697
139217229	6754.0	3.89441	nan	nan	0.7980011566907996
305761404	7168.0	4.2659	nan	nan	0.9998373049114366
24434038	7108.0	4.30343	nan	nan	0.827253915532444
278541813	7067.0	4.15878	nan	nan	0.7882054513093829
290556710	6632.0	4.23481	nan	nan	0.7818901324174973
372172624	7039.0	4.092	nan	nan	0.9492409953960947
304263369	7277.0	4.18029	nan	nan	0.9999999999999969
245233372	7127.0	3.77217	nan	nan	0.979959421875795
430101314	6830.0	3.59015	nan	nan	0.9556060793736535
173182684	7051.0	4.17985	nan	nan	0.8448566115254633
155667549	7089.63	3.9843	10.172019	2.11402	0.7896767506648884
384076159	6506.0	3.63939	13.5046778	2.89246	0.9957597968460399
121296799	6613.0	3.74481	11.7673254	2.61333	0.9838823189898587
220024447	6547.0	3.89948	nan	nan	0.805833479638658
14495328	7169.3	4.23739	nan	nan	0.8779869214605264
287134922	6833.0	3.79513	12.73971	2.54689	0.8277490589458383
212124443	6824.0	3.85728	nan	nan	0.9991475067275137
280423704	7141.0	4.2229	nan	nan	0.9645597388258998
354271438	7294.59	4.47985	nan	nan	0.8919823555465298
303243010	7277.0	4.28431	5.90699863	1.52908	0.9999835559556502
181108489	7111.0	4.21644	6.063167	1.62234	0.862431656672293
283583844	6969.0	4.12279	6.719624	1.77821	0.9524621913762105
4969967	7323.0	4.18179	nan	nan	0.9752951264101756
282200026	7010.0	4.23825	nan	nan	0.999205762400934
374370362	6510.0	3.21822	35.9724426	4.71493	0.7897925157394033
53674182	6905.0	3.85988	nan	nan	0.9865671255974027
41561453	7244.0	nan	nan	1.78011	1.0
13709071	7017.0	4.20008	nan	nan	0.8017198588685539
167665276	7101.0	4.08985	nan	nan	0.9446290555161485
158290446	7252.0	4.34277	5.05841827	1.42477	0.9583796087040398
365207121	7282.48	4.23542	nan	nan	0.9999990784105512
119506788	6737.0	4.20872	4.53180265	1.56263	0.8080166827575705
123829722	6664.0	4.40765	nan	nan	0.784445000292841
191455174	7234.0	4.14222	7.94768524	1.7948	0.9697677150757167
48505311	7150.92	4.29721	nan	nan	0.9898076099403663
252742797	6669.0	3.79437	nan	nan	0.9983003507705881
442869987	6727.93	3.89632	nan	nan	0.7756881620177312
22782846	6859.0	4.19881	nan	nan	0.9329914914337311
117647109	7147.0	4.22902	nan	nan	0.9933225176285403
417834206	7218.0	3.9066	nan	nan	0.989781964339901
431181077	6734.0	4.09739	nan	nan	0.79868632678278
242440283	7181.0	4.18634	nan	nan	0.8716158032536365
407341402	7092.0	4.2744	nan	nan	0.9843208884547623
271255805	7235.0	4.13173	nan	nan	0.8622409199184615
421236616	7317.0	4.24508	nan	nan	0.8956844102523985
296784723	7038.0	3.83613	nan	nan	0.9918156330688331
312444258	6997.0	4.09914	nan	nan	0.9999999999330409
447089557	7028.0	4.06953	7.959604	1.90298	0.8707933099739863
22483412	7174.0	4.10838	8.15733	1.84886	0.7868063930867484
404228936	6650.0	3.43931	24.5962677	3.73632	0.999999997378356
393620554	7108.0	4.17585	nan	nan	0.9992122041635109
168141014	7391.0	3.98907	nan	nan	0.8359732639072902
330631421	7014.0	4.01312	8.956748	2.02673	0.9557744760441874
48889165	7346.0	4.18809	nan	nan	0.9999505953555241
156214184	6837.0	4.10649	nan	nan	0.7866913471143115
409525206	6964.0	4.24895	nan	nan	0.8419962502544727
147907846	7380.0	4.23344	nan	nan	0.7803889905371693
180582084	7209.0	4.29658	nan	nan	0.9913419384662879
233799681	6899.0	3.97564	nan	nan	0.9998445928039262
448782279	7081.0	3.8917	nan	nan	0.909860775621868
44318111	6841.0	3.94472	9.088367	2.14613	0.8070750857508342
352809178	7170.7	4.08314	nan	nan	0.9330583082222847
447101288	6884.83	4.036	nan	nan	0.9999999998744626
280428537	7337.0	4.29016	nan	nan	0.9421789804885274
57262376	7021.0	4.17	nan	nan	0.8812291459035226
365797718	7157.0	4.27447	5.51238	1.52707	0.7832087852288331
126211840	7344.0	4.34717	nan	nan	0.7867741415336642
343952321	6989.0	4.13148	nan	nan	0.9784920211655191
421250875	7092.0	4.27423	nan	nan	0.9989358777178631
188478026	7014.42	4.12854	nan	nan	0.9243732154424655
283587015	6851.0	3.90198	nan	nan	0.9856575260336299
202983939	6830.12	3.91829	nan	nan	0.797990345254089
159172195	6984.3	4.15224	6.33435774	1.71893	0.8560984599907683
305430324	6940.0	4.28872	nan	nan	0.9996453290070774
275959890	7060.0	4.25529	nan	nan	0.8093066755997174
339369248	7007.0	3.63656	nan	nan	0.983161847131098
148551720	7036.0	3.99242	nan	nan	0.998971202135509
293792712	6691.0	4.09659	nan	nan	0.9070750967265392
268831567	7012.0	4.19112	nan	nan	0.8124882891314277
441765957	7177.0	4.18329	6.87646151	1.69609	0.9459950532105815
317152028	6990.0	4.23727	nan	nan	0.9999131670167308
185989078	7272.0	4.20392	nan	nan	0.9999986992780413
389645506	6840.0	4.06269	nan	nan	0.9999964402441905
28118435	6917.0	3.99469	nan	nan	0.9210064862093941
461695259	7350.0	4.32859	nan	nan	0.9477085620465748
405439843	7150.0	4.00348	10.1837387	2.07967	0.973071965521277
307913920	6769.0	3.81954	11.3943882	2.45442	0.9923155455242352
239226020	6923.21	4.19285	5.496928	1.62966	0.7925986203575014
365800261	6852.0	3.41542	nan	nan	0.7962704462470702
270021480	7096.0	3.71573	nan	nan	0.8479079075591192
5625607	6968.0	4.1406	nan	nan	0.9895196220650966
4292111	7068.9	4.28921	nan	nan	0.8265268259873992
192826886	6828.0	3.99524	nan	nan	0.8878360843702691
97480314	7117.11	4.11118	nan	nan	0.991861561650458
342332222	7080.0	3.84167	nan	nan	0.8960672708525522
396742965	6924.05	4.08861	6.99155474	1.83747	0.9999933826887798
345485554	6670.0	3.33364	nan	nan	0.9999999999983062
74928310	7356.66	3.30063	nan	nan	1.0
470536411	7121.0	4.21175	nan	nan	0.7977470590589751
166011815	7032.0	3.82246	nan	nan	1.0
60972639	7163.0	4.13978	nan	nan	0.9249972119689059
63896601	7459.0	3.8198	nan	nan	0.8769624576024362
438078424	6937.0	4.02938	nan	nan	0.8955189716385895
11822402	7202.0	4.15841	nan	nan	0.9332676447174698
360824095	6642.0	nan	nan	nan	0.8340109730317598
408680871	7219.0	4.1597	nan	nan	0.9783032014640449
73202995	7469.0	4.1832	nan	nan	0.8599929347220903
274313965	6795.0	4.03657	7.06808853	1.91834	0.9999440289596507
100008712	7080.0	4.27086	nan	nan	0.9941018191145768
103065167	7051.0	3.99858	nan	nan	0.8659254891436896
431582501	7099.0	4.23926	5.699677	1.57828	0.7835646250790016
377550966	7061.0	4.27405	nan	nan	0.9869338651462131
200459221	7309.0	4.22351	nan	nan	0.9775992283230628
454827689	6520.0	3.86245	nan	nan	0.9315765769177359
193220794	7149.0	4.21463	nan	nan	0.9999775323811498
410549236	6978.0	3.96887	nan	nan	0.9838152024644908
308545579	6806.9	4.19232	5.00674772	1.60891	0.9988096486039909
192464328	7183.13	4.29573	nan	nan	0.9999670591898694
27182529	7173.0	4.13135	nan	nan	0.9758023902006246
288067199	7160.0	4.19702	nan	nan	0.8691742244028536
388850476	7093.27	4.22493	nan	nan	0.952773903682729
326003445	6899.0	3.40198	nan	nan	0.8057317938835199
301100318	7089.0	4.00385	9.708529	2.06566	0.8443210307851049
285215301	7314.0	4.33116	nan	nan	0.9978877226547332
104341005	6967.0	4.16148	nan	nan	0.7961704848557245
181110143	7133.0	4.19058	6.55637646	1.67664	0.8402383461005477
403909478	6568.0	3.92586	nan	nan	0.7987805548393629
129778584	6747.32	3.80747	nan	nan	0.8344424121213068
156755203	6907.0	4.01672	8.115141	1.9894	0.9738240040285205
378308872	6780.0	4.18275	nan	nan	0.8667840436364916
413256312	6863.0	4.1813	5.379065	1.64051	0.8035937049002116
407343723	7013.01	4.07385	7.76337051	1.88742	0.9447322682652906
287301442	7012.0	3.93259	nan	nan	0.9003665171186498
202995710	7374.0	4.12876	9.111886	1.84948	0.8162408148456269
424848397	7147.0	4.12233	7.73259544	1.81371	0.7797022192264973
91686092	7107.0	4.0322	nan	nan	0.8359566813914011
207244939	7274.44	3.73958	nan	nan	0.9562637921596173
128384480	7032.0	4.28817	nan	nan	0.8952237138733503
